taxonNameID,scientificName,acceptedTaxonNameID,acceptedTaxonName,higherTaxonNameID,higherTaxonName,basionymID,basionym,kingdom,phylum,class,order,family,genus,subgenus,specificEpithet,infraspecificEpithet,taxonRank,scientificNameAuthorship,nomenclaturalCode,namePublicationID,namePublishedIn,taxonomicStatus,nomenclaturalStatus,taxonRemarks,taxonConceptID,taxonAccordingTo
,"echinosporum",,"",,"",,"","","","","","","","","","","Species","Beeli","",,"Bull. Soc. R. bot. Belg.,  58: 209 (1926)","","","",,""
,"microsporum",,"",,"",,"Lachnocladium echinosporum var. microsporum","","","","","","","","","","Variety","Beeli","ICBN",,"Bull. Soc. R. bot. Belg.,  58: 209 (1926)","","Assumed Valid","",,""
,"Lachnocladium",,"",,"",,"","","","","","","","","","","Genus","","",,"Saccardo's Syll. fung. XXVI: 695","","","",,""
,"echinosporum",,"",,"",,"","","","","","","","","","","Species","","",,"Saccardo's Syll. fung. XXVI: 695","","","",,""
,"microsporum",,"",,"",,"Lachnocladium echinosporum var. microsporum","","","","","","","","","","Variety","","",,"Saccardo's Syll. fung. XXVI: 695","","","",,""
,"Massarinula",,"",,"",,"","","","","","","","","","","Genus","Speg.","",,"Revta Fac. Agron. Vet. Univ. nac. La Plata,  6(1): 61 (1910)","","","",,""
,"chilensis",,"",,"",,"Massarinula chilensis","","","","","","","","","","Species","Speg.","ICBN",,"Revta Fac. Agron. Vet. Univ. nac. La Plata,  6(1): 61 (1910)","","Assumed Valid","",,""
,"Massarinula",,"",,"",,"","","","","","","","","","","Genus","","",,"Saccardo's Syll. fung. XX: 33","","","",,""
,"chilensis",,"",,"",,"Massarinula chilensis","","","","","","","","","","Species","","",,"Saccardo's Syll. fung. XX: 33","","","",,""
,"Massarinula",,"",,"",,"","","","","","","","","","","Genus","","",,"Saccardo's Syll. fung. XXII: 160","","","",,""
,"chilensis",,"",,"",,"Massarinula chilensis","","","","","","","","","","Species","","",,"Saccardo's Syll. fung. XXII: 160","","","",,""
,"Nectria",,"",,"",,"","","","","","","","","","","Genus","Rehm","",,"Annls mycol.,  7: 539 (1909)","","","",,""
,"byssotecta",,"",,"",,"Nectria byssotecta","","","","","","","","","","Species","Rehm","ICBN",,"Annls mycol.,  7: 539 (1909)","","Assumed Valid","",,""
,"Nectria",,"",,"",,"","","","","","","","","","","Genus","","",,"Saccardo's Syll. fung. XXII: 468","","","",,""
,"byssotecta",,"",,"",,"Nectria byssotecta","","","","","","","","","","Species","","",,"Saccardo's Syll. fung. XXII: 468","","","",,""
,"Ophionectria",,"",,"",,"","","","","","","","","","","Genus","Seaver","",,"Mycologia,  1(2): 70 (1909)","","","",,""
,"cylindrothecia",,"",,"",,"Ophionectria cylindrothecia","","","","","","","","","","Species","Seaver","ICBN",,"Mycologia,  1(2): 70 (1909)","","Assumed Valid","",,""
,"Ophionectria",,"",,"",,"","","","","","","","","","","Genus","","",,"Saccardo's Syll. fung. XX: 244","","","",,""
,"cylindrothecia",,"",,"",,"Ophionectria cylindrothecia","","","","","","","","","","Species","","",,"Saccardo's Syll. fung. XX: 244","","","",,""
,"Ophionectria",,"",,"",,"","","","","","","","","","","Genus","","",,"Saccardo's Syll. fung. XXII: 498","","","",,""
,"cylindrothecia",,"",,"",,"Ophionectria cylindrothecia","","","","","","","","","","Species","","",,"Saccardo's Syll. fung. XXII: 498","","","",,""
,"Poria",,"",,"",,"","","","","","","","","","","Genus","Berk. & M.A. Curtis","",,"Index Fungorum","","","",,""
,"porothelioides",,"",,"",,"Poria porothelioides","","","","","","","","","","Species","Berk. & M.A. Curtis","ICBN",,"Index Fungorum","","Assumed Valid","",,""
,"Poria",,"",,"",,"","","","","","","","","","","Genus","","",,"Saccardo's Syll. fung. VI: 332","","","",,""
,"porothelioides",,"",,"",,"Poria porothelioides","","","","","","","","","","Species","","",,"Saccardo's Syll. fung. VI: 332","","","",,""
,"Poria",,"",,"",,"","","","","","","","","","","Genus","","",,"Saccardo's Syll. fung. XII: 615","","","",,""
,"porothelioides",,"",,"",,"Poria porothelioides","","","","","","","","","","Species","","",,"Saccardo's Syll. fung. XII: 615","","","",,""
,"Racodium",,"",,"",,"","","","","","","","","","","Genus","Pers.","",,"Index Fungorum","","","",,""
,"rubiginosum",,"",,"",,"Racodium rubiginosum","","","","","","","","","","Species","Pers.","ICBN",,"Index Fungorum","","Assumed Valid","",,""
,"Racodium",,"",,"",,"","","","","","","","","","","Genus","","",,"Saccardo's Syll. fung. XIV: 1191","","","",,""
,"rubiginosum",,"",,"",,"Racodium rubiginosum","","","","","","","","","","Species","","",,"Saccardo's Syll. fung. XIV: 1191","","","",,""
,"Tilletia",,"",,"",,"","","","","","","","","","","Genus","Beck","",,"Verh. zool.-bot. Ges. Wein,  35: 362 (1886)","","","",,""
,"thlaspeos",,"",,"",,"Tilletia thlaspeos","","","","","","","","","","Species","Beck","ICBN",,"Verh. zool.-bot. Ges. Wein,  35: 362 (1886)","","Assumed Valid","",,""
,"Tilletia",,"",,"",,"","","","","","","","","","","Genus","","",,"Saccardo's Syll. fung. VII: 486A","","","",,""
,"thlaspeos",,"",,"",,"Tilletia thlaspeos","","","","","","","","","","Species","","",,"Saccardo's Syll. fung. VII: 486A","","","",,""
,"Tilletia",,"",,"",,"","","","","","","","","","","Genus","","",,"Saccardo's Syll. fung. XVI: 367","","","",,""
,"thlaspeos",,"",,"",,"Tilletia thlaspeos","","","","","","","","","","Species","","",,"Saccardo's Syll. fung. XVI: 367","","","",,""
,"Tilletia",,"",,"",,"","","","","","","","","","","Genus","","",,"Saccardo's Syll. fung. XII: 782","","","",,""
,"thlaspeos",,"",,"",,"Tilletia thlaspeos","","","","","","","","","","Species","","",,"Saccardo's Syll. fung. XII: 782","","","",,""
,"Tricholoma",,"",,"",,"","","","","","","","","","","Genus","Fr. & N. Lund","",,"Rysslands, Finlands och den Skandinaviska Halföns. Hattsvampar, : 42 (1879)","","","",,""
,"stiparophyllum",,"",,"",,"Tricholoma stiparophyllum","","","","","","","","","","Species","Fr. & N. Lund","ICBN",,"Rysslands, Finlands och den Skandinaviska Halföns. Hattsvampar, : 42 (1879)","","Assumed Valid","",,""
,"Tricholoma",,"",,"",,"","","","","","","","","","","Genus","","",,"Saccardo's Syll. fung. V: 114","","","",,""
,"stiparophyllum",,"",,"",,"Tricholoma stiparophyllum","","","","","","","","","","Species","","",,"Saccardo's Syll. fung. V: 114","","","",,""
,"Tricholoma",,"",,"",,"","","","","","","","","","","Genus","","",,"Saccardo's Syll. fung. XII: 1034","","","",,""
,"stiparophyllum",,"",,"",,"Tricholoma stiparophyllum","","","","","","","","","","Species","","",,"Saccardo's Syll. fung. XII: 1034","","","",,""
,"Hypoxylon",,"",,"",,"","","","","","","","","","","Genus","Berk. & M.A. Curtis","",,"in Berkeley, J. Linn. Soc., Bot. 10(no. 46): 384 (1869) [1868]","","","",,""
,"petersii",,"",,"",,"Hypoxylon petersii","","","","","","","","","","Species","Berk. & M.A. Curtis","ICBN",,"in Berkeley, J. Linn. Soc., Bot. 10(no. 46): 384 (1869) [1868]","","Assumed Valid","",,""
,"Hypoxylon",,"",,"",,"","","","","","","","","","","Genus","","",,"Saccardo's Syll. fung. I: 369","","","",,""
,"petersii",,"",,"",,"Hypoxylon petersii","","","","","","","","","","Species","","",,"Saccardo's Syll. fung. I: 369","","","",,""
,"Hypoxylon",,"",,"",,"","","","","","","","","","","Genus","","",,"Saccardo's Syll. fung. II: xxii","","","",,""
,"petersii",,"",,"",,"Hypoxylon petersii","","","","","","","","","","Species","","",,"Saccardo's Syll. fung. II: xxii","","","",,""
